identifier,text,link_label,url_basename,url_fullname
P29,コードリスト型「公共施設大分類コード」 ,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P29,コードリスト型「公共施設小分類コード」 ,公共施設小分類コード,PubFacMinclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMinclassCd.html
P29,コードリスト型「学校分類コード」,学校分類コード,SchoolClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SchoolClassCd.html
P29,コードリスト型「管理者コード」,管理者コード,AdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminCd.html
P30,コードリスト型「行政コード」 ,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P30,コードリスト型「公共施設大分類コード」 ,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P30,コードリスト型「公共施設小分類コード」,公共施設小分類コード,PubFacMinclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMinclassCd.html
P30,コードリスト型「郵便局分類コード」,郵便局分類コード,postOfficeCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/postOfficeCd.html
P30,コードリスト型「管理者コード」,管理者コード,AdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminCd.html
P31,コードリスト「種別コード」,種別コード,DistributionCenterCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/DistributionCenterCd.html
P31,コードリスト「分類コード」,分類コード,DistributionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/DistributionCd.html
P31,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
P31,コードリスト「事業者分類コード」,事業者分類コード,EntrepreneurCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/EntrepreneurCd.html
P32,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
P32,コードリスト「種別大区分コード」,種別大区分コード,LargeClassificationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/LargeClassificationCd.html
P32,コードリスト「種別小区分コード」,種別小区分コード,SmallClassificationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SmallClassificationCd.html
P32,コードリスト「代表点区分コード」,代表点区分コード,PointClassificationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PointClassificationCd.html
P33,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P33,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
P33,コードリスト「施設区分コード」,施設区分コード,facilityTypeCode.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/facilityTypeCode.html
P33,"コードリスト「公民館の種別コード」
※公民館以外の施設の場合、「-1」とする。 
",公民館の種別コード,communityCenterType.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/communityCenterType.html
P33,コードリスト「代表点区分コード」,代表点区分コード,pointClassificationCode.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/pointClassificationCode.html
P34,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P34,コードリスト「施設分類コード」,施設分類コード,PubOfficeClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubOfficeClassCd.html
S05-a,コードリスト「都市圏コード」　,都市圏コード,PTAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PTAreaCd.html
S05-a,コードリスト「発生集中コード」　,発生集中コード,TripGenerationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/TripGenerationCd.html
